username,email,password
chiroholic,chiro@gmail.com,ChiroholiC#1
craxzy,craxzy@gmail.com,CraxzY#1
lordgrim,lordgrim@gmail.com,LordgriM#1
sosenk,sosenk@gmail.com,SosenK#2
tappu,tappu@gmail.com,TappU#2434
godofwar,godofwar@gmail.com,GodofwaR#2
piupiu,piupiu@gmail.com,PiupiU#3
dhruj,dhruj@gmail.com,DhruJ#343
chrisa,chrisa@gmail.com,ChrisA#3
sher,sher@gmail.com,Sher#41234
shuklaa,shuklaa@gmail.com,ShuklaA#4
pruhnou,pruhnou@gmail.com,PruhnoU#4
pranidhid,pranidhid@gmail.com,PranidhiD#5
ricnmort,ricnmort@gmail.com,RicnmorT#5
cocokoala,cocokoala@gmail.com,CocokoalA#5
maximus,maximus@gmail.com,MaximuS#6
dxlemma,dxlemma@gmail.com,DxlemmA#6
sasthera,sasthera@gmail.com,SastherA#6
rockyy,rockyy@gmail.com,RockyY#7
khosha,khosha@gmail.com,KhoshA#7
